"","state","before","after","meandiffbefore_after"
"1","AZ",2.01863585137997,-4.03397272078121,6.05260857216118
"2","CA",1.12775305014785,-4.50009932155498,5.62785237170283
"3","CO",-0.771471348989148,-2.29253807581441,1.52106672682526
"4","CT",0.356053970637896,-5.49173139849765,5.84778536913554
"5","FL",-0.100116951182512,-0.701499965612479,0.601383014429968
"6","GA",0.35003312380375,-1.57342557185395,1.9234586956577
"7","IA",-0.347765113400691,-1.11100140719059,0.7632362937899
"8","ID",1.05146781584811,-2.17868407272124,3.23015188856936
"9","IN",-2.59566080304445,-4.29650169252001,1.70084088947556
"10","KS",-0.548660817012919,-1.5699237634647,1.02126294645178
"11","KY",-2.76305807711635,-5.79361237774092,3.03055430062457
"12","MA",0.121118641594399,-5.37374148212962,5.49486012372402
"13","MD",-0.838513562484716,-3.88039792625245,3.04188436376774
"14","ME",1.19523725037067,-1.68589955501798,2.88113680538864
"15","MI",-0.364294712554813,-2.47326133271375,2.10896662015894
"16","MN",-0.0281879186817132,-1.9233047917155,1.89511687303379
"17","MO",-1.02483784296773,-3.1973172041208,2.17247936115307
"18","MS",-1.05435151263223,-3.0435047276408,1.98915321500857
"19","MT",-0.749971879765238,-0.774393937819018,0.0244220580537794
"20","NC",-1.54211114347761,-3.48586008527191,1.9437489417943
"21","ND",-0.477865260630141,-1.37170888743646,0.893843626806318
"22","NJ",-0.473018883054221,-6.08410914221947,5.61109025916525
"23","NM",-0.739346742386452,-3.61920197301482,2.87985523062837
"24","NV",-3.28249528962866,-13.9245044645758,10.6420091749472
"25","OH",-0.4939084184187,-2.37068793516447,1.87677951674576
"26","OK",-0.25427721319446,-2.54359016600824,2.28931295281378
"27","OR",-0.957837393628193,-2.95951997431483,2.00168258068664
"28","PA",-4.37482093483883,-10.8741225641604,6.49930162932157
"29","RI",-0.911051860584591,-7.35313306399863,6.44208120341404
"30","SC",-0.274827213081323,-1.42336991503922,1.1485427019579
"31","UT",0.975365963816612,-4.708186111873,5.68355207568961
"32","VA",-2.84219221983319,-5.51450311678017,2.67231089694698
"33","VT",0.00161653968652291,-4.42073287466512,4.42234941435164
"34","WA",-0.323518138447145,-2.20264866372909,1.87913052528194
"35","WI",-0.759481969244864,-3.13364854173451,2.37416657248965
"36","WY",-0.373045567752041,-0.714005382169775,0.340959814417734
