"","state","before","after","meandiffbefore_after"
"1","AL",-0.971946643280057,-0.326516447673973,-0.645430195606084
"2","AR",-1.38585752686572,-0.855231419008255,-0.530626107857468
"3","AZ",-1.64915786739878,-3.95720843114466,2.30805056374588
"4","CA",-1.06082190490141,-4.01743546230247,2.95661355740106
"5","CO",-1.23672540224557,-1.09656251139461,-0.140162890850967
"6","CT",0.275565320903519,-1.68225481431349,1.95782013521701
"7","DE",-0.861090401811512,-0.482997442197036,-0.378092959614476
"8","FL",0.607972621667162,2.1521940436089,-1.54422142194174
"9","GA",-0.967575646013505,0.78654797008781,-1.75412361610131
"10","IA",0.231649970794109,-0.00582898263530115,0.23747895342941
"11","ID",-1.92817907823979,-3.24054740160406,1.31236832336427
"12","IL",-0.998326072868154,-0.816621540887518,-0.181704531980637
"13","IN",-0.776284099173007,-0.362666033364645,-0.413618065808362
"14","KS",-0.54104749722407,1.35930174448944,-1.90034924171351
"15","KY",-0.973638959374368,-0.123647624057876,-0.849991335316492
"16","LA",-2.59422275177498,-1.16172615566749,-1.43249659610749
"17","MA",1.34290753456274,-0.43437754009557,1.77728507465831
"18","MD",-2.52764165309987,-2.70325843146112,0.175616778361249
"19","ME",0.541290828542344,-1.17436734918175,1.7156581777241
"20","MI",-1.05413357288273,-0.650189795131632,-0.403943777751102
"21","MN",-0.566134675006831,-0.960766100177284,0.394631425170453
"22","MO",-1.12039651571192,-1.14874712562556,0.0283506099136388
"23","MS",-0.1260920139078,1.92795105769938,-2.05404307160718
"24","MT",-1.79328740707866,-2.30479492963625,0.511507522557582
"25","NC",-2.21561208214286,-1.54180330189238,-0.673808780250483
"26","ND",-0.671318251184423,-0.677482968315951,0.00616471713152755
"27","NE",-0.403409053597745,1.79441554723454,-2.19782460083229
"28","NH",0.0181811302214445,-1.34206655616427,1.36024768638572
"29","NJ",-1.2248857483259,-2.49132690195424,1.26644115362834
"30","NM",-1.42795612918841,-2.69934886575506,1.27139273656665
"31","NV",-0.479004951005125,-2.95388599988563,2.4748810488805
"32","NY",0.944802675551056,-1.71434347099113,2.65914614654219
"33","OH",-1.11477790332488,-1.60919209923919,0.494414195914311
"34","OK",-1.27908460342262,-0.0511508079007553,-1.22793379552187
"35","OR",-2.37579208888607,-3.6780853896798,1.30229330079372
"36","PA",-2.65878725032501,-3.89393274614665,1.23514549582164
"37","RI",-0.570881173606478,-2.45370394911348,1.882822775507
"38","SC",-0.977568538175558,-0.366105249729818,-0.61146328844574
"39","SD",0.160068996984869,0.168916187582603,-0.00884719059773492
"40","TN",-1.03717695845404,-0.638743760651901,-0.398433197802142
"41","TX",-1.72620067153807,0.659044588090955,-2.38524525962902
"42","UT",-1.76014069463534,-3.57820441995517,1.81806372531983
"43","VA",-1.84296891224194,-1.77963002359447,-0.0633388886474653
"44","VT",1.40846514562524,-0.746836852791117,2.15530199841636
"45","WA",-2.2166180585476,-2.46132113760489,0.244703079057291
"46","WI",-0.0485310058861816,0.596970837116182,-0.645501843002364
"47","WV",0.826807572323448,0.782107506165432,0.0447000661580156
"48","WY",-1.26308461454158,-1.70452999347776,0.441445378936183
