"","state","before","after"
"1","AL",-1.22666110035287,0.11035599747291
"2","AR",-1.39062174602117,-1.15180059927118
"3","AZ",-1.49193451765978,-3.92942453413879
"4","CA",-0.694009408765075,-4.06407649342903
"5","CO",-1.48503617446994,-1.04007976372735
"6","CT",-0.0533543090074291,-1.9503151620768
"7","DE",-0.867639932727028,-0.287786081154795
"8","FL",0.58599752919159,1.31721199397789
"9","GA",-1.13073269053506,0.490297330456288
"10","IA",0.520762443467073,-0.409091014774392
"11","ID",-2.26367799128046,-3.18652822978121
"12","IL",-0.951293301865946,-0.811717160794702
"13","IN",-0.574473654704869,-0.348925017602594
"14","KS",-0.6765274553277,0.47494546078202
"15","KY",-0.887671510612178,-0.711732369575533
"16","LA",-2.61500095867461,-1.1753671192849
"17","MA",0.889275716619979,-0.344753376854292
"18","MD",-2.71009518643244,-3.0219157032797
"19","ME",0.174794884749482,-1.05922934146688
"20","MI",-1.32766228525611,-0.604577435920516
"21","MN",-0.544576155985235,-1.49587499911625
"22","MO",-1.18049112400927,-1.41788549325449
"23","MS",-0.485928617970139,1.45922665135927
"24","MT",-2.06526635175626,-2.55489801153037
"25","NC",-2.68069753547889,-1.67006276990779
"26","ND",-0.73712390567064,-0.97383816279397
"27","NE",-0.562129423387332,1.43335081135338
"28","NH",-0.242788333187796,-1.39227309367663
"29","NJ",-1.09539032562338,-2.50214558266765
"30","NM",-1.47385712307365,-2.52521397814385
"31","NV",-0.324240198456283,-3.04462856856668
"32","NY",0.571466403634745,-1.68971056562137
"33","OH",-1.05210252130475,-1.72946221708218
"34","OK",-1.39011866017447,0.648445559940864
"35","OR",-2.17061487779015,-3.77691723476475
"36","PA",-2.50422805170752,-3.98008005315733
"37","RI",-0.675173969462252,-2.47845117540174
"38","SC",-1.08835886100107,-0.779173076792951
"39","SD",0.0397534001926338,0.484480966208967
"40","TN",-1.06462423025799,-0.76013200182723
"41","TX",-1.80691546126653,0.475006606741443
"42","UT",-1.9990199158284,-3.58104905616328
"43","VA",-2.19093255604604,-1.77821794818585
"44","VT",0.613986072153192,-1.12710214034569
"45","WA",-2.689367874057,-2.57897915647203
"46","WI",-0.010620019551939,0.307573085103134
"47","WV",0.812190212308101,0.429531067990164
"48","WY",-1.24928229542596,-1.57210925250723
